"Claim_ID","Customer_ID","Vehicle_ID","Claim_Amount","Claim_Date","Claim_Type"
"1","871245","871245","10000","2025-03-28","1"
"2","772244","772244","10000","2025-11-28","1"
"3","767178","767178","10000","2025-05-28","1"
"4","679008","679008","10000","2025-07-14","1"
"5","53573","53573","10000","2025-04-21","1"
"6","319872","319872","10000","2025-11-21","1"
"7","606484","606484","10000","2025-05-21","1"
"8","2734","2734","10000","2025-01-06","1"
"9","635051","635051","10000","2025-07-14","1"
"10","303447","303447","10000","2025-04-14","1"
"11","659469","659469","10000","2025-02-27","1"
"12","487191","487191","10000","2025-01-27","1"
"13","81776","81776","10000","2025-06-07","1"
"14","938325","938325","10000","2025-11-07","1"
"15","113599","113599","10000","2025-07-07","1"
"16","638940","638940","10000","2025-03-28","1"
"17","802882","802882","10000","2025-07-28","1"
"18","624703","624703","10000","2025-10-28","1"
"19","618852","618852","10000","2025-11-07","1"
"20","113639","113639","10000","2025-12-07","1"
"21","451580","451580","10000","2025-01-20","1"
"22","877423","877423","10000","2025-06-21","1"
"23","816017","816017","10000","2025-01-13","1"
"24","896391","896391","10000","2025-07-07","1"
"25","173040","173040","10000","2025-07-14","1"
"26","924130","924130","10000","2025-08-14","1"
"27","698786","698786","10000","2025-09-14","1"
"28","726730","726730","10000","2025-04-21","1"
"29","640722","640722","10000","2025-12-21","1"
"30","366048","366048","10000","2025-09-14","1"
"31","471606","471606","10000","2025-02-27","1"
"32","709515","709515","10000","2025-06-14","1"
"33","35967","35967","10000","2025-01-20","1"
"34","237804","237804","10000","2025-12-07","1"
"35","535248","535248","10000","2025-10-07","1"
"36","493538","493538","10000","2025-07-28","1"
"37","367602","367602","10000","2025-08-21","1"
"38","641106","641106","10000","2025-03-28","1"
"39","916843","916843","10000","2025-06-14","1"
"40","35949","35949","10000","2025-04-07","1"
"41","673622","673622","10000","2025-03-07","1"
"42","550155","550155","10000","2025-01-13","1"
"43","676448","676448","10000","2025-12-07","1"
"44","243006","243006","10000","2025-07-28","1"
"45","114348","114348","10000","2025-08-28","1"
"46","90883","90883","10000","2025-11-14","1"
"47","987154","987154","10000","2025-06-28","1"
"48","47574","47574","10000","2025-07-28","1"
"49","866129","866129","10000","2025-12-07","1"
"50","803314","803314","10000","2025-01-13","1"
"51","158484","158484","10000","2025-05-14","1"
"52","406745","406745","10000","2025-09-28","1"
"53","910053","910053","10000","2025-07-21","1"
"54","347205","347205","10000","2025-09-07","1"
"55","721640","721640","10000","2025-04-14","1"
"56","556129","556129","10000","2025-11-07","1"
"57","956229","956229","10000","2025-05-14","1"
"58","798820","798820","10000","2025-08-28","1"
"59","582102","582102","10000","2025-02-06","1"
"60","556431","556431","10000","2025-10-21","1"
"61","491159","491159","10000","2025-07-07","1"
"62","793770","793770","10000","2025-09-21","1"
"63","921633","921633","10000","2025-06-07","1"
"64","92933","92933","10000","2025-03-21","1"
"65","940572","940572","10000","2025-04-21","1"
"66","89406","89406","10000","2025-04-14","1"
"67","310042","310042","10000","2025-03-14","1"
"68","55477","55477","10000","2025-07-14","1"
"69","692665","692665","10000","2025-03-07","1"
"70","846564","846564","10000","2025-03-21","1"
"71","412030","412030","10000","2025-12-07","1"
"72","878168","878168","10000","2025-02-06","1"
"73","984481","984481","10000","2025-10-07","1"
"74","939894","939894","10000","2025-03-21","1"
"75","523604","523604","10000","2025-03-07","1"
"76","55513","55513","10000","2025-04-21","1"
"77","649427","649427","10000","2025-10-14","1"
"78","646762","646762","10000","2025-04-21","1"
"79","731366","731366","10000","2025-07-21","1"
"80","81847","81847","10000","2025-04-14","1"
"81","896287","896287","10000","2025-11-07","1"
"82","995380","995380","10000","2025-12-21","1"
"83","617722","617722","10000","2025-12-28","1"
"84","799648","799648","10000","2025-10-14","1"
"85","88151","88151","10000","2025-12-14","1"
"86","259219","259219","10000","2025-08-07","1"
"87","783252","783252","10000","2025-07-28","1"
"88","854347","854347","10000","2025-07-21","1"
"89","526333","526333","10000","2025-08-28","1"
"90","260373","260373","10000","2025-02-20","1"
"91","955234","955234","10000","2025-04-28","1"
"92","37807","37807","10000","2025-07-14","1"
"93","904017","904017","10000","2025-05-21","1"
"94","101094","101094","10000","2025-11-28","1"
"95","47307","47307","10000","2025-06-28","1"
"96","212454","212454","10000","2025-02-20","1"
"97","829336","829336","10000","2025-03-21","1"
"98","955499","955499","10000","2025-12-28","1"
"99","983097","983097","10000","2025-02-20","1"
"100","41753","41753","10000","2025-11-07","1"
"101","549597","549597","10000","2025-11-21","1"
"102","935416","935416","10000","2025-06-21","1"
"103","386667","386667","10000","2025-11-21","1"
"104","202897","202897","10000","2025-02-20","1"
"105","159503","159503","10000","2025-12-21","1"
"106","326956","326956","10000","2025-05-21","1"
"107","757871","757871","10000","2025-06-21","1"
"108","791169","791169","10000","2025-11-07","1"
"109","660283","660283","10000","2025-11-21","1"
"110","163569","163569","10000","2025-01-06","1"
"111","325625","325625","10000","2025-10-28","1"
"112","98478","98478","10000","2025-06-21","1"
"113","806686","806686","10000","2025-11-07","1"
"114","988283","988283","10000","2025-09-14","1"
"115","887236","887236","10000","2025-06-07","1"
"116","40858","40858","10000","2025-05-28","1"
"117","551170","551170","10000","2025-09-07","1"
"118","5447","5447","10000","2025-01-06","1"
"119","107454","107454","10000","2025-10-28","1"
"120","624886","624886","10000","2025-08-28","1"
"121","491408","491408","10000","2025-05-21","1"
"122","75421","75421","10000","2025-01-06","1"
"123","876510","876510","10000","2025-07-07","1"
"124","769860","769860","10000","2025-02-13","1"
"125","246730","246730","10000","2025-01-27","1"
"126","736411","736411","10000","2025-05-07","1"
"127","932418","932418","10000","2025-08-28","1"
"128","499934","499934","10000","2025-04-28","1"
"129","391711","391711","10000","2025-01-27","1"
"130","768280","768280","10000","2025-11-07","1"
"131","703555","703555","10000","2025-04-07","1"
"132","740357","740357","10000","2025-05-21","1"
"133","95571","95571","10000","2025-02-06","1"
"134","458342","458342","10000","2025-08-07","1"
"135","436071","436071","10000","2025-10-28","1"
"136","689511","689511","10000","2025-10-07","1"
"137","748494","748494","10000","2025-03-14","1"
"138","242509","242509","10000","2025-05-28","1"
"139","890666","890666","10000","2025-07-21","1"
"140","529959","529959","10000","2025-08-21","1"
"141","594611","594611","10000","2025-02-20","1"
"142","569376","569376","10000","2025-02-06","1"
"143","387737","387737","10000","2025-08-14","1"
"144","110134","110134","10000","2025-02-20","1"
"145","289084","289084","10000","2025-08-07","1"
"146","492861","492861","10000","2025-09-07","1"
"147","147128","147128","10000","2025-03-21","1"
"148","331216","331216","10000","2025-02-06","1"
"149","682874","682874","10000","2025-02-06","1"
"150","506803","506803","10000","2025-10-21","1"
"151","3811","3811","10000","2025-01-13","1"
"152","996451","996451","10000","2025-01-27","1"
"153","592459","592459","10000","2025-06-14","1"
"154","243198","243198","10000","2025-08-21","1"
"155","509993","509993","10000","2025-12-07","1"
"156","639412","639412","10000","2025-06-21","1"
"157","231479","231479","10000","2025-09-28","1"
"158","753550","753550","10000","2025-07-21","1"
"159","218081","218081","10000","2025-06-14","1"
"160","641369","641369","10000","2025-03-21","1"
"161","576780","576780","10000","2025-09-28","1"
"162","936069","936069","10000","2025-08-07","1"
"163","882396","882396","10000","2025-01-27","1"
"164","313499","313499","10000","2025-06-07","1"
"165","353410","353410","10000","2025-08-07","1"
"166","797858","797858","10000","2025-09-14","1"
"167","810919","810919","10000","2025-10-07","1"
"168","180351","180351","10000","2025-10-28","1"
"169","325635","325635","10000","2025-12-21","1"
"170","31317","31317","10000","2025-06-28","1"
"171","799814","799814","10000","2025-07-07","1"
"172","11504","11504","10000","2025-12-21","1"
"173","328484","328484","10000","2025-05-14","1"
"174","740036","740036","10000","2025-01-27","1"
"175","173601","173601","10000","2025-08-21","1"
"176","666732","666732","10000","2025-08-21","1"
"177","392186","392186","10000","2025-02-13","1"
"178","54848","54848","10000","2025-04-07","1"
"179","523638","523638","10000","2025-05-21","1"
"180","95871","95871","10000","2025-03-14","1"
"181","411917","411917","10000","2025-06-14","1"
"182","459166","459166","10000","2025-01-20","1"
"183","534147","534147","10000","2025-03-21","1"
"184","784879","784879","10000","2025-06-07","1"
"185","359335","359335","10000","2025-04-28","1"
"186","536668","536668","10000","2025-01-20","1"
"187","363587","363587","10000","2025-07-21","1"
"188","974386","974386","10000","2025-05-21","1"
"189","755790","755790","10000","2025-11-14","1"
"190","122550","122550","10000","2025-09-28","1"
"191","890801","890801","10000","2025-04-07","1"
"192","778564","778564","10000","2025-09-21","1"
"193","724659","724659","10000","2025-07-14","1"
"194","988385","988385","10000","2025-05-21","1"
"195","530736","530736","10000","2025-11-14","1"
"196","230609","230609","10000","2025-08-21","1"
"197","570651","570651","10000","2025-08-21","1"
"198","762568","762568","10000","2025-08-28","1"
"199","912424","912424","10000","2025-04-28","1"
"200","168153","168153","10000","2025-03-28","1"
"201","415803","415803","10000","2025-09-28","1"
"202","960110","960110","10000","2025-05-14","1"
"203","430367","430367","10000","2025-02-20","1"
"204","731608","731608","10000","2025-11-21","1"
"205","790458","790458","10000","2025-09-28","1"
"206","909601","909601","10000","2025-10-07","1"
"207","334904","334904","10000","2025-10-28","1"
"208","320774","320774","10000","2025-07-28","1"
"209","88418","88418","10000","2025-12-07","1"
"210","550405","550405","10000","2025-02-27","1"
"211","85014","85014","10000","2025-09-21","1"
"212","619353","619353","10000","2025-12-28","1"
"213","528214","528214","10000","2025-06-14","1"
"214","254374","254374","10000","2025-05-07","1"
"215","537790","537790","10000","2025-10-14","1"
"216","132426","132426","10000","2025-02-13","1"
"217","156564","156564","10000","2025-05-14","1"
